,.,90%,95%,99%,90%,95%,99%
1,303.9728932,195.138131,174.2882753,133.538415,412.8076553,433.6575111,474.4073714
2,322.9123815,186.5903426,160.4746532,109.4330198,459.2344203,485.3501097,536.3917432
3,356.0666712,206.3423244,177.6591081,121.5993888,505.7910179,534.4742343,590.5339535
4,348.2558366,191.417117,161.3709754,102.6474961,505.0945561,535.1406977,593.8641771
5,336.3346214,175.5889533,144.7943439,84.60802663,497.0802896,527.874899,588.0612163
6,309.1222343,146.1956859,114.9832776,53.98039624,472.0487827,503.261191,564.2640724
7,303.2052058,139.050872,107.6032526,46.14066432,467.3595396,498.807159,560.2697473
8,290.1343038,125.2855566,93.704906,31.98231584,454.983051,486.5637016,548.2862917
9,268.6963432,103.4538425,71.79775918,9.92774003,433.9388439,465.5949272,527.4649463
10,257.1864441,91.72035289,60.02143555,-1.932300247,422.6525352,454.3514526,516.3051884
11,248.9351957,83.3420373,51.61877725,-10.38253499,414.5283541,446.2516141,508.2529264
12,191.0085495,25.34314532,-6.393955112,-68.42231759,356.6739537,388.4110541,450.4394166
13,193.1274395,27.42094831,-4.324023298,-66.36776954,358.8339306,390.5789022,452.6226485
14,198.1516849,32.42182361,0.672374917,-61.38012154,363.8815461,395.6309948,457.6834913
15,243.4413119,77.69815672,45.94616126,-16.1113127,409.184467,440.9364625,502.9939364
16,269.6214382,97.52211296,64.55244379,0.115095634,441.7207634,474.6904326,539.1277807
17,285.8940671,110.2813193,76.63857152,10.88572933,461.506815,495.1495628,560.902405
18,306.4416351,128.8611002,94.84137648,28.35175636,484.0221701,518.0418938,584.5315139
19,304.3808054,125.6904554,91.45812055,24.55296399,483.0711554,517.3034903,584.2086468
20,297.5268426,118.2081776,83.85547433,16.71506439,476.8455076,511.1982109,578.3386208
21,283.0151541,103.3400177,68.91902387,1.64514405,462.6902906,497.1112844,564.3851642
22,281.5725983,101.6949784,67.2351941,-0.114499481,461.4502181,495.9100024,563.259696
23,273.2553064,93.26259414,58.78076123,-8.612025171,453.2480186,487.7298515,555.1226379
24,261.5071704,81.44901428,46.95464406,-20.46264581,441.5653265,476.0596968,543.4769866
25,254.0814342,73.98605727,39.48455653,-27.94666954,434.1768111,468.6783119,536.1095379
26,248.5817411,68.46519247,33.9596358,-33.47951737,428.6982897,463.2038464,530.6429995
27,213.1411863,33.01259411,-1.495269796,-68.93893231,393.2697785,427.7776424,495.221305
28,217.0202006,36.88475712,2.375580683,-65.0706471,397.1556442,431.6648206,499.1110484
29,219.6591679,39.51982679,5.009903669,-62.43778346,399.7985091,434.3084322,501.7561194
30,251.8571994,71.71564087,37.20529296,-30.24322439,431.9987579,466.5091058,533.9576231
31,267.1423039,84.23094556,49.18997742,-19.29560706,450.0536622,485.0946303,553.5802148
32,276.0290742,91.56051977,56.22123415,-12.84739496,460.4976285,495.8369142,564.9055433
33,288.3244044,102.9757905,67.46790883,-1.930231738,473.6730183,509.1809,578.5790406
34,286.5685703,100.7211452,65.11770451,-4.467200694,472.4159953,508.019436,577.6043412
35,282.365034,96.23442895,60.57673847,-9.114194866,468.4956391,504.1533296,573.8442629
36,273.2380236,86.94650785,51.25799115,-18.49319028,459.5295393,495.218056,564.9692374
37,271.9572816,85.57428485,49.86824282,-19.91719089,458.3402783,494.0463204,563.8317541
38,267.0193275,80.58430676,44.86829829,-24.93661424,453.4543483,489.1703568,558.9752693
39,259.699557,73.23494595,37.51326876,-32.30272296,446.1641681,481.8858453,551.7018371
40,255.3096657,68.82822263,33.10332087,-36.71897308,441.7911088,477.5160106,547.3383045
41,252.0901108,65.5990925,29.8723564,-39.95352267,438.581129,474.3078651,544.1337442
42,230.7925855,44.29612008,8.568340459,-61.25957813,417.2890509,453.0168305,522.8447491
43,232.6335424,46.13397819,10.40560491,-59.42347395,419.1331066,454.8614799,524.6905588
44,234.3017813,47.80045411,12.0717431,-57.75799582,420.8031084,456.5318194,526.3615584
45,252.7989436,66.29661347,30.56771033,-39.26240412,439.3012736,475.0301768,544.8602912
46,262.1231048,74.71343391,38.81070831,-31.35913224,449.5327757,485.4355013,555.6053418
47,267.6662034,79.74229612,43.74105647,-26.62132424,455.5901107,491.5913504,561.9537311
48,275.1071791,86.89134675,50.83418198,-19.63750118,463.3230115,499.3801762,569.8518594
49,274.1459138,85.76420539,49.67526318,-20.85852719,462.5276221,498.6165643,569.1503547
50,271.621785,83.14577398,47.03876588,-23.53033326,460.0977961,496.2048042,566.7739033
51,266.1842047,77.65456539,41.53728353,-29.05189508,454.7138441,490.8311259,561.4203045
52,265.4900855,76.92994353,40.80681817,-29.79378123,454.0502275,490.1733528,560.7739522
53,262.4941165,73.91662359,37.79017425,-32.81692168,451.0716094,487.1980587,557.8051547
54,258.1204815,69.5331183,33.40477807,-37.2060135,446.7078448,482.836185,553.4469766
55,255.4533723,66.860394,30.73097807,-39.88191589,444.0463506,480.1757665,550.7886605
56,253.4910831,64.89491047,28.76488259,-41.8492074,442.0872558,478.2172837,548.8313737
57,240.6195791,52.02158913,15.89121311,-54.7235573,429.217569,465.347945,535.9627154
58,241.8268399,53.22781613,17.09724205,-53.51791546,430.4258637,466.5564378,537.1715953
59,242.8191537,54.21954177,18.08885501,-52.52652272,431.4187656,467.5494524,538.1648301
60,254.1627217,65.56277519,29.43202433,-41.18347868,442.7626683,478.8934191,549.5089221
61,259.7711239,70.83564782,34.64061839,-36.10051342,448.7066,484.9016294,555.6427612
62,263.0820334,73.95593826,37.72439127,-33.08811204,452.2081285,488.4396755,559.2521788
63,267.5690125,78.33455876,42.08225313,-28.77082176,456.8034662,493.0557719,563.9088467
64,266.9699248,77.6738529,41.40974287,-29.46640307,456.2659967,492.5301067,563.4062527
65,265.4440541,76.11293618,39.84211227,-31.04715557,454.7751719,491.0459959,561.9352637
66,262.1486541,72.79760123,36.52295831,-34.37377357,451.4997069,487.7743499,558.6710817
67,261.7145654,72.35217239,36.075357,-34.82562087,451.0769585,487.3537739,558.2547517
68,259.9094215,70.54057725,34.26252597,-36.64086734,449.2782657,485.556317,556.4597103
69,257.2613006,67.88878635,31.61003199,-39.29473546,446.6338149,482.9125692,553.8173367
70,255.6550032,66.28040113,30.00124679,-40.90430239,445.0296054,481.3087597,552.2143089
71,254.4743813,65.09859135,28.81920947,-42.08678445,443.8501712,480.1295531,551.035547
72,246.7093879,57.33292229,21.05341095,-49.85283598,436.0858536,472.3653649,543.2716118
73,247.4195163,58.0426662,21.76308122,-49.14330965,436.7963664,473.0759513,543.9823422
74,248.0212054,58.64413663,22.36450975,-48.541963,437.3982742,473.6779011,544.5843738
75,254.832849,65.45565578,29.17600506,-41.73051427,444.2100422,480.4896929,551.3962122
76,258.2213778,68.72335102,32.42055178,-38.53121002,447.7194046,484.0222039,554.9739657
77,260.226269,70.65953364,34.34357167,-36.63391596,449.7930044,486.1089664,557.086454
78,262.9350679,73.32925488,37.00580667,-33.98631237,452.5408808,488.8643291,559.8564481
79,262.5771381,72.9490972,36.62139072,-34.37905088,452.2051789,488.5328854,559.533327
80,261.6566975,72.0160122,35.68588338,-35.31929253,451.2973827,487.6275115,558.6326875
81,259.6704308,70.0225524,33.69104557,-37.31682357,449.3183091,485.649816,556.6576851
82,259.4113592,69.75938875,33.427098,-37.5823033,449.0633296,485.3956204,556.4050217
83,258.3213101,68.66701172,32.33427498,-38.67599795,447.9756085,484.3083453,555.3186182
84,256.7247082,67.06908543,30.73609498,-40.27467383,446.380331,482.7133215,553.7240903
85,255.7545991,66.0982229,29.76508811,-41.24596281,445.4109754,481.7441102,552.7551611
86,255.0413437,65.38453886,29.05132195,-41.95988945,444.6981486,481.0313655,552.0425769
87,250.3542463,60.69719752,24.3639339,-46.64736881,440.011295,476.3445586,547.3558613
88,250.78639,61.12920254,24.79591235,-46.21544231,440.4435775,476.7768677,547.7882223
89,251.1489931,61.4917267,25.15842138,-45.85296282,440.8062595,477.1395648,548.150949
90,255.2667083,65.60939701,29.2760831,-41.73531792,444.9240196,481.2573335,552.2687345
91,257.3110984,67.60971881,31.26796258,-39.75993846,447.0124779,483.3542341,554.3821352
92,258.5198423,68.79339663,32.4468384,-38.59044788,448.246288,484.5928462,555.6301325
93,260.1545518,70.41384733,34.06455749,-36.97806756,449.8952562,486.2445461,557.2871711
94,259.9378287,70.18901281,33.83816903,-37.2074931,449.6866446,486.0374884,557.0831505
95,259.3822195,69.62878913,33.27706134,-37.77032854,449.1356499,485.4873777,556.5347675
96,258.1829346,68.42687908,32.07464838,-38.97372442,447.9389901,484.2912208,555.3395936
97,258.0260152,68.26846621,31.9159494,-39.13298256,447.7835642,484.136081,555.185013
98,257.3682447,67.60984613,31.25716656,-39.79208352,447.1266434,483.4793229,554.528573
99,256.4043265,66.64544458,30.29267241,-40.75675866,446.1632085,482.5159807,553.5654117
100,255.8189577,66.0598007,29.70697585,-41.34255817,445.5781146,481.9309395,552.9804735
101,255.3886197,65.62930627,29.27645145,-41.77314115,445.1479331,481.5007879,552.5503805
102,252.5599198,62.80051743,26.44764556,-44.60198036,442.3193222,478.6721941,549.72182
103,252.8200496,63.06059657,26.707715,-44.34192987,442.5795026,478.9323842,549.9820291
104,253.0389964,63.27951459,26.9266275,-44.12302816,442.7984782,479.1513653,550.201021
105,255.522901,65.76340282,29.4105126,-41.6391492,445.2823993,481.6352895,552.6849513
106,256.7568968,66.98136677,30.62540527,-40.43025914,446.5324268,482.8883883,553.9440527
107,257.4866613,67.7020113,31.34430266,-39.71477646,447.2713113,483.6290199,554.688099
108,258.4732929,68.6834547,32.32475214,-38.73626954,448.2631311,484.6218337,555.6828554
109,258.3426276,68.54983788,32.19056988,-38.87155691,448.1354174,484.4946854,555.5568122
110,258.0073158,68.21284692,31.85325725,-39.20949825,447.8017847,484.1613743,555.2241298
111,257.2836027,67.4881786,31.12840592,-39.93470724,447.0790269,483.4387995,554.5019127
112,257.1890043,67.39303668,31.03315989,-40.03015675,446.9849718,483.3448486,554.4081653
113,256.7919955,66.99571872,30.6357827,-40.42764971,446.5882722,482.9482082,554.0116406
114,256.2102977,66.41384509,30.05387538,-41.00962288,446.0067504,482.3667201,553.4302184
115,255.8569832,66.06043047,29.70044158,-41.36309414,445.6535359,482.0135248,553.0770605
116,255.5972331,65.80062343,29.44062363,-41.6229334,445.3938427,481.7538425,552.8173995
117,253.8899904,64.09334843,27.73334243,-43.33022673,443.6866325,480.0466385,551.1102076
118,254.0471193,64.25045886,27.89044934,-43.17312673,443.8437798,480.2037893,551.2673653
119,254.1792414,64.38257051,28.02255898,-43.04102101,443.9759124,480.3359239,551.3995039
120,255.67861,65.88193307,29.5219204,-41.54166182,445.4752869,481.8352995,552.8988818
121,256.4233431,66.62082607,30.25969458,-40.8060743,446.2258601,482.5869916,553.6527605
122,256.863734,67.0578946,30.69612662,-40.37088624,446.6695735,483.0313415,554.0983543
123,257.4591951,67.65146552,31.28933545,-39.77838511,447.2669246,483.6290547,554.6967753
124,257.3803082,67.57150332,31.20916725,-39.85895592,447.189113,483.5514491,554.6195723
125,257.1779325,67.36851589,31.00606263,-40.06228958,446.9873491,483.3498023,554.4181545
126,256.7411279,66.93136332,30.56884338,-40.49963913,446.5508925,482.9134125,553.981895
127,256.6840137,66.87405113,30.51149327,-40.55706338,446.4939763,482.8565342,553.9250908
128,256.4444093,66.63433407,30.27175463,-40.79684419,446.2544845,482.617064,553.6856628
129,256.093323,66.28318365,29.92059193,-41.14803088,445.9034623,482.266054,553.3346768
130,255.88009,66.06991426,29.70731556,-41.36132091,445.6902658,482.0528645,553.121501
131,255.7233269,65.91313036,29.55052769,-41.51811654,445.5335234,481.896126,552.9647703
132,254.6929514,64.88274313,28.5201382,-42.54851045,444.5031597,480.8657647,551.9344133
133,254.7877589,64.97754384,28.61493762,-42.45371354,444.5979739,480.9605801,552.0292313
134,254.867503,65.05728413,28.69467718,-42.37397541,444.6777218,481.0403288,552.1089813
135,255.7723765,65.96215552,29.59954815,-41.46910525,445.5825975,481.9452049,553.0138583
136,256.2218538,66.4095058,30.04649096,-41.02295883,446.0342018,482.3972166,553.4666664
137,256.4876541,66.67409603,30.31084937,-40.75905348,446.3012121,482.6644588,553.7343616
138,256.8470365,67.03279003,30.66941149,-40.40074911,446.6612829,483.0246615,554.0948221
139,256.7994305,66.98479239,30.62133883,-40.44896842,446.6140686,482.9775221,554.0478294
140,256.6772904,66.86242949,30.49893325,-40.57145742,446.4921513,482.8556475,553.9260382
141,256.4136673,66.59867964,30.23515911,-40.83527902,446.2286549,482.5921754,553.6626136
142,256.3792009,66.56414112,30.20060677,-40.86985835,446.1942606,482.557795,553.6282601
143,256.2345905,66.41948972,30.05594752,-41.01453296,446.0496913,482.4132335,553.483714
144,256.0227,66.20757584,29.84402916,-41.22646006,445.8378241,482.2013707,553.27186
145,255.8940056,66.0788682,29.71531898,-41.35517521,445.709143,482.0726922,553.1431864
146,255.7993926,65.98424768,29.62069701,-41.44980001,445.6145376,481.9780882,553.0485853
147,255.1775244,65.3623752,28.99882371,-42.07167492,444.9926737,481.3562252,552.4267238
148,255.2347489,65.41959718,29.05604523,-42.01445432,445.0499006,481.4134525,552.4839521
149,255.2828765,65.46772339,29.10417117,-41.9663289,445.0980295,481.4615818,552.5320818
150,255.8290081,66.01385425,29.65030188,-41.42019848,445.644162,482.0077144,553.0782147
151,256.1002823,66.28435364,29.92065284,-41.15013761,445.9162109,482.2799117,553.3507022
152,256.2607002,66.4443308,30.08054556,-40.99040992,446.0770696,482.4408549,553.5118103
153,256.4775997,66.66097958,30.2971463,-40.77390307,446.2942199,482.6580532,553.7291026
154,256.4488669,66.63210409,30.26824349,-40.8028593,446.2656297,482.6294903,553.7005931
155,256.375151,66.55830703,30.19443088,-40.8767023,446.191995,482.5558711,553.6270043
156,256.2160446,66.39915449,30.03526949,-41.03588097,446.0329348,482.3968198,553.4679702
157,256.1952422,66.37832578,30.01443575,-41.05672454,446.0121586,482.3760486,553.4472089
158,256.107965,66.29103362,29.92714073,-41.14402516,445.9248963,482.2887892,553.3599551
159,255.9800813,66.1631414,29.79924688,-41.27192219,445.7970211,482.1609156,553.2320847
160,255.9024099,66.08546523,29.72156978,-41.3496011,445.7193546,482.0832501,553.154421
161,255.8453079,66.02836046,29.66446448,-41.40670743,445.6622554,482.0261513,553.0973232
162,255.4699891,65.65304007,29.28914379,-41.78202871,445.2869381,481.6508344,552.7220069
163,255.5045251,65.68757517,29.32367872,-41.74749411,445.321475,481.6853714,552.7565443
164,255.5335719,65.71662148,29.35272493,-41.71844809,445.3505223,481.7144188,552.7855919
165,255.8631795,66.04622882,29.68233222,-41.38884091,445.6801302,482.0440268,553.1151999
166,256.0269031,66.20967015,29.84571949,-41.22555931,445.844136,482.2080866,553.2793654
167,256.1237212,66.30632772,29.9423463,-41.12899261,445.9411146,482.305096,553.376435
168,256.2546276,66.43714281,30.07314389,-40.99822922,446.0721124,482.4361113,553.5074844
169,256.2372865,66.41974977,30.0557409,-41.01565167,446.0548233,482.4188322,553.4902247
170,256.1927964,66.37523013,30.01121559,-41.06018804,446.0103628,482.3743773,553.4457809
171,256.0967704,66.27918723,29.91516948,-41.15624045,445.9143535,482.2783713,553.3497812
172,256.0842155,66.26662282,29.90260323,-41.16881028,445.9018082,482.2658278,553.3372413
173,256.0315407,66.21394252,29.84992189,-41.22149366,445.8491388,482.2131594,553.284575
174,255.9543585,66.13675725,29.77273603,-41.29868068,445.7719597,482.135981,553.2073977
175,255.9074811,66.08987811,29.72585655,-41.34556082,445.7250841,482.0891057,553.1605231
176,255.873018,66.05541403,29.69139227,-41.38002547,445.690622,482.0546438,553.1260615
177,255.6465001,65.8288955,29.46487364,-41.60654432,445.4641047,481.8281265,552.8995445
178,255.6673439,65.84973903,29.4857171,-41.58570098,445.4849488,481.8489708,552.9203888
179,255.6848747,65.86726957,29.50324761,-41.56817053,445.5024797,481.8665017,552.9379199
180,255.8838046,66.06619944,29.70217745,-41.36924073,445.7014098,482.0654318,553.13685
181,255.9826174,66.16490943,29.80086776,-41.27058891,445.8003254,482.1643671,553.2358238
182,256.0410504,66.22328398,29.8592311,-41.21224747,445.8588169,482.2228698,553.2943484
183,256.120057,66.30225727,29.93819801,-41.13329301,445.9378567,482.301916,553.373407
184,256.109591,66.29177236,29.92770949,-41.14378863,445.9274097,482.2914726,553.3629707
185,256.0827397,66.26491029,29.90084534,-41.1706568,445.9005692,482.2646341,553.3361362
186,256.0247846,66.20694907,29.84288295,-41.22862148,445.8426202,482.2066863,553.2781907
187,256.0172073,66.19936827,29.83530149,-41.23620425,445.8350464,482.1991131,553.2706189
188,255.9854162,66.16757519,29.80350803,-41.26799846,445.8032572,482.1673244,553.2388309
189,255.9388341,66.12099193,29.75692456,-41.31458235,445.7566762,482.1207436,553.1922505
190,255.910542,66.09269918,29.72863168,-41.34287547,445.7283848,482.0924523,553.1639594
191,255.8897423,66.07189915,29.70783158,-41.3636757,445.7075855,482.071653,553.1431603
192,255.7530309,65.93518752,29.57111991,-41.50038746,445.5708743,481.9349419,553.0064492
193,255.7656108,65.94776735,29.58369971,-41.48780769,445.5834543,481.947522,553.0190294
194,255.7761912,65.95834769,29.59428004,-41.47722739,445.5940348,481.9581024,553.0296099
195,255.8962523,66.07840872,29.71434106,-41.35716638,445.7140959,482.0781636,553.149671
196,255.9558893,66.13800823,29.7739334,-41.29758807,445.7737703,482.1378451,553.2093666
197,255.9911556,66.17325329,29.80917438,-41.26235506,445.809058,482.1731369,553.2446663
198,256.0388388,66.22092437,29.85684314,-41.21469084,445.8567533,482.2208345,553.2923685
199,256.0325223,66.2146009,29.85051835,-41.22101821,445.8504436,482.2145262,553.2860627
200,256.0163166,66.19839129,29.83430799,-41.23723005,445.8342418,482.1983251,553.2698632
201,255.9813387,66.16341115,29.79932743,-41.27221144,445.7992662,482.1633499,553.2348888
202,255.9767655,66.15883672,29.79475275,-41.27678659,445.7946943,482.1587782,553.2303176
203,255.9575785,66.13964897,29.77556486,-41.29597475,445.775508,482.1395921,553.2111317
204,255.9294645,66.11153463,29.74745044,-41.32408933,445.7473944,482.1114786,553.1830184
205,255.9123893,66.09445912,29.73037489,-41.34116496,445.7303194,482.0944036,553.1659435
206,255.8998359,66.08190567,29.71782141,-41.35371849,445.7177662,482.0818505,553.1533904
207,255.8173259,65.99939551,29.63531124,-41.43622869,445.6352562,481.9993405,553.0708804
208,255.8249183,66.00698791,29.64290363,-41.42863632,445.6428487,482.006933,553.0784729
209,255.8313039,66.01337353,29.64928924,-41.42225072,445.6492344,482.0133187,553.0848586
210,255.903765,66.08583454,29.72175025,-41.34978971,445.7216954,482.0857797,553.1573197
211,255.9397579,66.12181387,29.75772697,-41.3138181,445.757702,482.1217889,553.193334
212,255.9610424,66.14309058,29.77900219,-41.29254578,445.7789942,482.1430826,553.2146306
213,255.9898209,66.17186463,29.80777539,-41.26377423,445.8077771,482.1718664,553.243416
214,255.9860086,66.16804985,29.80396013,-41.26759044,445.8039674,482.1680571,553.2396076
215,255.9762279,66.15826772,29.79417773,-41.27737337,445.7941881,482.1582781,553.2298292
216,255.9551175,66.13715653,29.77306638,-41.29848502,445.7730785,482.1371687,553.2087201
217,255.9523575,66.134396,29.77030577,-41.30124581,445.7703189,482.1344092,553.2059607
218,255.9407774,66.1228157,29.75872542,-41.31282626,445.7587391,482.1228294,553.1943811
219,255.9238097,66.10584782,29.74175751,-41.32979422,445.7417716,482.1058619,553.1774136
220,255.9135042,66.09554222,29.73145189,-41.34009988,445.7314661,482.0955565,553.1671082
221,255.9059278,66.08796581,29.72387547,-41.34767631,445.7238898,482.0879802,553.1595319
222,255.8561301,66.03816808,29.67407774,-41.39747405,445.6740922,482.0381825,553.1097343
223,255.8607124,66.04275037,29.67866002,-41.39289178,445.6786745,482.0427648,553.1143166
224,255.8645664,66.04660432,29.68251397,-41.38903783,445.6825284,482.0466188,553.1181706
225,255.9082991,66.09033705,29.7262467,-41.3453051,445.7262612,482.0903515,553.1619033
226,255.9300221,66.11205509,29.74796378,-41.32358988,445.7479891,482.1120804,553.1836341
227,255.942868,66.12489818,29.76080633,-41.31074839,445.7608379,482.1249297,553.1964845
228,255.9602368,66.14226537,29.77817322,-41.29338211,445.7782083,482.1423004,553.2138558
229,255.957936,66.13996362,29.77587129,-41.29568438,445.7759084,482.1400007,553.2115564
230,255.952033,66.13406011,29.76996768,-41.30158818,445.7700059,482.1340983,553.2056542
231,255.9392922,66.12131897,29.75722648,-41.31432949,445.7572654,482.1213578,553.1929138
232,255.9376264,66.119653,29.75556049,-41.31599555,445.7555997,482.1196922,553.1912483
233,255.9306374,66.11266395,29.74857142,-41.32298465,445.7486109,482.1127034,553.1842595
234,255.9203968,66.10242328,29.73833074,-41.33322535,445.7383703,482.1024629,553.174019
235,255.9141771,66.09620352,29.73211097,-41.33944514,445.7321506,482.0962432,553.1677993
236,255.9096045,66.0916309,29.72753835,-41.34401776,445.727578,482.0916706,553.1632267
237,255.8795498,66.06157626,29.6974837,-41.37407241,445.6975234,482.061616,553.1331721
238,255.8823154,66.06434183,29.70024927,-41.37130685,445.700289,482.0643815,553.1359377
239,255.8846414,66.06666782,29.70257526,-41.36898085,445.702615,482.0667075,553.1382637
240,255.9110356,66.09306204,29.72896949,-41.34258663,445.7290092,482.0931018,553.1646579
241,255.9241462,66.10617082,29.74207791,-41.32947888,445.7421216,482.1062145,553.1777713
242,255.9318992,66.11392275,29.74982964,-41.32172754,445.7498756,482.1139687,553.1855259
243,255.9423818,66.12440483,29.76031162,-41.31124578,445.7603589,482.1244521,553.1960095
244,255.9409932,66.12301586,29.75892259,-41.31263494,445.7589705,482.1230638,553.1946214
245,255.9374305,66.11945301,29.7553597,-41.3161979,445.7554081,482.1195014,553.191059
246,255.929741,66.11176337,29.74767003,-41.32388761,445.7477186,482.111812,553.1833696
247,255.9287356,66.11075794,29.74666459,-41.32489307,445.7467133,482.1108067,553.1823643
248,255.9245176,66.10653983,29.74244648,-41.3291112,445.7424953,482.1065887,553.1781463
249,255.918337,66.10035924,29.73626589,-41.33529179,445.7363148,482.1004081,553.1719658
250,255.9145832,66.09660541,29.73251205,-41.33904564,445.7325609,482.0966543,553.168212
251,255.9118235,66.09384568,29.72975232,-41.34180537,445.7298012,482.0938946,553.1654523
252,255.8936844,66.07570666,29.7116133,-41.35994439,445.7116622,482.0757556,553.1473133
253,255.8953536,66.07737578,29.71328242,-41.35827527,445.7133313,482.0774247,553.1489824
254,255.8967574,66.0787796,29.71468624,-41.35687145,445.7147352,482.0788285,553.1503862
255,255.9126872,66.09470943,29.73061607,-41.34094162,445.730665,482.0947583,553.166316
256,255.9205999,66.10262146,29.73852797,-41.33302996,445.7385783,482.1026718,553.1742298
257,255.9252791,66.10730026,29.7432067,-41.32835137,445.7432579,482.1073515,553.1789095
258,255.9316057,66.11362671,29.74953311,-41.32202505,445.7495848,482.1136784,553.1852365
259,255.9307676,66.11278849,29.74869487,-41.32286333,445.7487468,482.1128404,553.1843986
260,255.9286175,66.11063824,29.7465446,-41.32501363,445.7465967,482.1106903,553.1822485
261,255.9239766,66.10599729,29.74190365,-41.32965459,445.7419558,482.1060495,553.1776077
262,255.9233698,66.1053905,29.74129685,-41.3302614,445.7413491,482.1054427,553.177001
263,255.920824,66.10284473,29.73875108,-41.33280718,445.7388033,482.102897,553.1744552
264,255.9170938,66.09911454,29.73502089,-41.33653737,445.7350731,482.0991668,553.1707251
265,255.9148283,66.09684897,29.73275532,-41.33880294,445.7328076,482.0969012,553.1684595
266,255.9131627,66.09518338,29.73108973,-41.34046853,445.731142,482.0952356,553.1667939
267,255.9022152,66.08423585,29.7201422,-41.35141606,445.7201945,482.0842881,553.1558464
268,255.9032225,66.08524323,29.72114957,-41.35040869,445.7212018,482.0852955,553.1568538
269,255.9040698,66.08609048,29.72199683,-41.34956144,445.7220491,482.0861428,553.157701
270,255.913684,66.09570468,29.73161103,-41.33994723,445.7316633,482.095757,553.1673152
271,255.9184596,66.10048003,29.73638633,-41.33517202,445.7364391,482.1005328,553.1720912
272,255.9212836,66.10330394,29.73921021,-41.33234819,445.7392633,482.103357,553.1749154
273,255.925102,66.10712222,29.74302848,-41.32852996,445.7430817,482.1071755,553.1787339
274,255.9245962,66.10661636,29.74252261,-41.32903584,445.742576,482.1066697,553.1782282
275,255.9232985,66.10531862,29.74122486,-41.3303336,445.7412783,482.105372,553.1769305
276,255.9204975,66.10251766,29.7384239,-41.33313456,445.7384774,482.1025711,553.1741296
277,255.9201313,66.10215144,29.73805768,-41.33350079,445.7381112,482.1022049,553.1737634
278,255.9185948,66.10061498,29.73652122,-41.33503724,445.7365747,482.1006685,553.1722269
279,255.9163435,66.09836369,29.73426993,-41.33728854,445.7343234,482.0984172,553.1699756
280,255.9149762,66.09699634,29.73290258,-41.33865589,445.7329561,482.0970498,553.1686083
281,255.913971,66.0959911,29.73189734,-41.33966113,445.7319508,482.0960446,553.1676031
282,255.9073638,66.08938389,29.72529013,-41.34626835,445.7253436,482.0894374,553.1609958
283,255.9079717,66.08999187,29.72589811,-41.34566036,445.7259516,482.0900454,553.1616038
284,255.9084831,66.09050322,29.72640946,-41.34514901,445.726463,482.0905567,553.1621152
285,255.9142856,66.09630572,29.73221196,-41.33934651,445.7322655,482.0963592,553.1679177
286,255.9171678,66.09918787,29.73509409,-41.33646442,445.7351478,482.0992416,553.1708001
287,255.9188722,66.10089222,29.73679844,-41.33476008,445.7368522,482.100946,553.1725045
288,255.9211767,66.10319671,29.73910291,-41.33245562,445.7391568,482.1032506,553.1748091
289,255.9208715,66.10289141,29.73879762,-41.33276092,445.7388515,482.1029453,553.1745038
290,255.9200882,66.10210819,29.73801439,-41.33354415,445.7380683,482.1021621,553.1737206
291,255.9183978,66.10041772,29.73632392,-41.33523463,445.7363778,482.1004716,553.1720302
292,255.9181768,66.10019669,29.73610289,-41.33545565,445.7361568,482.1002506,553.1718092
293,255.9172495,66.09926939,29.73517559,-41.33638296,445.7352295,482.0993233,553.1708819
294,255.9158907,66.09791065,29.73381685,-41.33774169,445.7338708,482.0979646,553.1695231
295,255.9150655,66.09708541,29.73299161,-41.33856693,445.7330455,482.0971393,553.1686979
296,255.9144588,66.09647871,29.73238492,-41.33917363,445.7324389,482.0965327,553.1680912
297,255.9104711,66.09249103,29.72839724,-41.34316131,445.7284512,482.092545,553.1641035
298,255.910838,66.09285797,29.72876417,-41.34279437,445.7288181,482.0929119,553.1644705
299,255.9111467,66.09316659,29.72907279,-41.34248576,445.7291267,482.0932205,553.1647791
300,255.9146487,66.0966686,29.7325748,-41.33898374,445.7326287,482.0967225,553.1682811
